,Date,Volume,Open,High,Low,Adj Close
2514,2015-03-12,62096504.0,12.9167,12.9633,12.65,12.738
2513,2015-03-13,81319354.0,12.5967,12.7833,12.488,12.5787
2512,2015-03-16,84255378.0,12.8,13.0607,12.6533,13.0467
2511,2015-03-17,73353938.0,13.0287,13.2473,12.9293,12.982
2510,2015-03-18,71953059.0,12.9973,13.392,12.874,13.3807
2509,2015-03-19,127032626.0,13.4667,13.6393,12.9687,13.0433
2508,2015-03-20,63751108.0,13.1633,13.266,13.0414,13.2053
2507,2015-03-23,39337360.0,13.2333,13.3667,13.1647,13.3087
2506,2015-03-24,54612963.0,13.4387,13.586,13.3167,13.448
2505,2015-03-25,85823687.0,13.218,13.2393,12.8467,12.9533
2504,2015-03-26,61802729.0,12.928,12.986,12.6467,12.6937
2503,2015-03-27,128948381.0,12.6047,12.6193,12.0933,12.3333
2502,2015-03-30,150934575.0,12.39,12.8167,12.12,12.7047
2501,2015-03-31,75269212.0,12.902,12.9173,12.5607,12.5847
2500,2015-04-01,56872157.0,12.58,12.82,12.4033,12.506
2499,2015-04-02,75071092.0,12.682,12.882,12.6667,12.7333
2498,2015-04-06,186341457.0,13.2,13.85,13.1667,13.54
2497,2015-04-07,65104392.0,13.5007,13.6707,13.4093,13.55
2496,2015-04-08,94195648.0,13.88,14.06,13.7247,13.8447
2495,2015-04-09,56697767.0,13.8953,14.0247,13.7413,14.006
2494,2015-04-10,60312720.0,13.99,14.11,13.9333,14.06
2493,2015-04-13,56358272.0,14.029,14.2,13.9367,13.9853
2492,2015-04-14,45286282.0,13.9047,13.966,13.7,13.8307
2491,2015-04-15,29157015.0,13.8307,13.9727,13.7733,13.8553
2490,2015-04-16,24855258.0,13.8467,13.9447,13.7527,13.78
2489,2015-04-17,36983247.0,13.666,13.792,13.5667,13.786
2488,2015-04-20,38383676.0,13.7853,13.8567,13.59,13.6847
2487,2015-04-21,51242629.0,13.72,14.05,13.6207,13.9607
2486,2015-04-22,117832636.0,14.1667,14.792,14.1127,14.6293
2485,2015-04-23,66125727.0,14.5513,14.7653,14.4767,14.5733
2484,2015-04-24,36395322.0,14.7,14.72,14.534,14.5617
2483,2015-04-27,174886413.0,14.8373,15.9167,14.8,15.4367
2482,2015-04-28,91202624.0,15.65,15.7,15.202,15.3653
2481,2015-04-29,58969276.0,15.3367,15.6647,15.1753,15.4967
2480,2015-04-30,58383421.0,15.3593,15.526,15.0113,15.07
2479,2015-05-01,79153820.0,15.3293,15.4513,14.6937,15.0687
2478,2015-05-04,66408852.0,15.212,15.6487,15.1407,15.3673
2477,2015-05-05,86740922.0,15.8507,15.9667,15.2753,15.53
2476,2015-05-06,76256602.0,15.6067,15.6313,15.2133,15.362
2475,2015-05-07,141598459.0,14.7333,15.832,14.6833,15.7867
2474,2015-05-08,69981640.0,15.7327,15.894,15.58,15.774
2473,2015-05-11,84956958.0,15.7527,16.192,15.6873,15.966
2472,2015-05-12,95186907.0,16.0073,16.4233,15.8793,16.316
2471,2015-05-13,81490294.0,16.5073,16.5533,16.15,16.212
2470,2015-05-14,42706224.0,16.3213,16.326,16.0833,16.2733
2469,2015-05-15,67790021.0,16.262,16.6267,16.1667,16.5893
2468,2015-05-18,50248940.0,16.4667,16.66,16.4,16.5833
2467,2015-05-19,55022957.0,16.562,16.7333,16.41,16.476
2466,2015-05-20,56242157.0,16.4753,16.516,16.0915,16.29
2465,2015-05-21,29498490.0,16.202,16.4413,16.1572,16.3747
2464,2015-05-22,33289618.0,16.3587,16.5733,16.334,16.5153
2463,2015-05-26,52364914.0,16.512,16.8,16.4333,16.497
2462,2015-05-27,51059794.0,16.5673,16.6333,16.37,16.4953
2461,2015-05-28,54690918.0,16.4687,16.7867,16.3367,16.7633
2460,2015-05-29,56776652.0,16.7333,16.8579,16.6287,16.72
2459,2015-06-01,37533551.0,16.7607,16.7733,16.498,16.63
2458,2015-06-02,31941554.0,16.5947,16.6267,16.42,16.5567
2457,2015-06-03,26671517.0,16.5467,16.7147,16.4673,16.5993
2456,2015-06-04,36383802.0,16.5,16.62,16.3807,16.3947
2455,2015-06-05,45297532.0,16.4,16.6467,16.3787,16.6093
2454,2015-06-08,75104122.0,16.7233,17.25,16.6873,17.086
2453,2015-06-09,38940866.0,17.0267,17.1827,16.9427,17.0667
2452,2015-06-10,51789439.0,16.7933,16.9333,16.5667,16.7133
2451,2015-06-11,30614580.0,16.884,16.958,16.6953,16.7607
2450,2015-06-12,21276844.0,16.6807,16.8973,16.6807,16.7127
2449,2015-06-15,32743964.0,16.6467,16.752,16.4007,16.692
2448,2015-06-16,29713755.0,16.6753,16.896,16.6063,16.8747
2447,2015-06-17,82508359.0,16.8113,17.624,16.8013,17.3607
2446,2015-06-18,41721594.0,17.4667,17.564,17.3347,17.4593
2445,2015-06-19,36883482.0,17.4933,17.5867,17.34,17.5007
2444,2015-06-22,68386046.0,17.4767,17.6267,17.046,17.3193
2443,2015-06-23,57969001.0,17.3547,17.8667,17.238,17.8447
2442,2015-06-24,36172362.0,17.7987,17.8233,17.5813,17.678
2441,2015-06-25,42674874.0,17.7633,18.094,17.6833,17.9193
2440,2015-06-26,57444871.0,17.926,17.9407,17.7333,17.806
2439,2015-06-29,52071754.0,17.4633,17.73,17.38,17.468
2438,2015-06-30,46266502.0,17.6533,18.0613,17.6,17.884
2437,2015-07-01,31500269.0,18.074,18.1747,17.8567,17.9433
2436,2015-07-02,107333721.0,18.6797,18.83,18.2207,18.668
2435,2015-07-06,61638854.0,18.592,18.7793,18.42,18.648
2434,2015-07-07,91445729.0,18.3333,18.3467,17.3847,17.8587
2433,2015-07-08,93189103.0,17.288,17.3867,16.954,16.9973
2432,2015-07-09,49946435.0,17.272,17.53,17.1193,17.1947
2431,2015-07-10,39078205.0,17.4813,17.5333,17.188,17.2767
2430,2015-07-13,44270933.0,17.4833,17.5033,17.07,17.4773
2429,2015-07-14,28583521.0,17.4733,17.7327,17.3673,17.71
2428,2015-07-15,30102885.0,17.7827,17.8327,17.472,17.5427
2427,2015-07-16,23973783.0,17.6147,17.8133,17.544,17.7787
2426,2015-07-17,74950298.0,18.1667,18.3693,17.8833,18.3107
2425,2015-07-20,74546273.0,18.3333,19.11,18.1693,18.8173
2424,2015-07-21,91374434.0,18.0033,18.2333,17.77,17.7847
2423,2015-07-22,46459867.0,17.418,17.9627,17.3907,17.858
2422,2015-07-23,33337198.0,17.9767,17.9933,17.6847,17.8133
2421,2015-07-24,42517794.0,17.8253,18.0727,17.5947,17.694
2420,2015-07-27,70333075.0,17.4953,17.6288,16.7193,16.8673
2419,2015-07-28,58189921.0,17.05,17.6933,16.7892,17.6547
2418,2015-07-29,41743269.0,17.618,17.8593,17.4667,17.588
2417,2015-07-30,30459060.0,17.5127,17.796,17.474,17.786
2416,2015-07-31,33270043.0,17.84,17.9573,17.6749,17.7433
2415,2015-08-03,38207441.0,17.7527,17.7807,17.138,17.3327
2414,2015-08-04,35042262.0,17.334,17.7813,17.2227,17.752
2413,2015-08-05,89538630.0,17.572,18.0667,17.36,18.0087
2412,2015-08-06,219267190.0,16.636,17.0,15.7413,16.4087
2411,2015-08-07,76043992.0,16.2387,16.2487,15.8927,16.1673
2410,2015-08-10,62689574.0,15.8767,16.198,15.7367,16.076
2409,2015-08-11,63913348.0,15.81,15.9533,15.6293,15.8247
2408,2015-08-12,55952042.0,15.6667,15.9847,15.516,15.878
2407,2015-08-13,70249915.0,15.9907,16.432,15.9413,16.1673
2406,2015-08-14,65410362.0,16.4827,16.5287,16.118,16.21
2405,2015-08-17,107525886.0,17.0373,17.106,16.7007,16.9993
2404,2015-08-18,62790734.0,17.0253,17.3967,16.904,17.3813
2403,2015-08-19,53984028.0,17.3553,17.3767,17.0013,17.0167
2402,2015-08-20,73382513.0,16.804,16.9707,16.1267,16.1453
2401,2015-08-21,98676476.0,15.7333,16.2533,15.3673,15.3847
2400,2015-08-24,143437188.0,13.5193,15.4267,13.0,14.5913
2399,2015-08-25,64705153.0,15.368,15.3933,14.608,14.6687
2398,2015-08-26,74269463.0,15.1953,15.2,14.3673,14.9893
2397,2015-08-27,114686538.0,15.4,16.3167,15.3873,16.1993
2396,2015-08-28,82609999.0,16.124,16.7633,16.1047,16.5653
2395,2015-08-31,70325560.0,16.3747,16.9967,16.3673,16.604
2394,2015-09-01,81658474.0,16.0227,16.4,15.798,15.9087
2393,2015-09-02,68862821.0,16.3533,16.5253,15.9853,16.5127
2392,2015-09-03,62772089.0,16.804,16.8053,16.3333,16.3713
2391,2015-09-04,55311812.0,16.0593,16.2727,15.88,16.1287
2390,2015-09-08,46948042.0,16.3367,16.6107,16.27,16.5447
2389,2015-09-09,50774690.0,16.8033,16.95,16.5535,16.594
2388,2015-09-10,40603090.0,16.482,16.7149,16.3553,16.5653
2387,2015-09-11,35202012.0,16.5093,16.6827,16.3153,16.6827
2386,2015-09-14,43284128.0,16.74,16.95,16.6447,16.8793
2385,2015-09-15,43974083.0,16.85,16.9733,16.6333,16.9047
2384,2015-09-16,66085557.0,16.8693,17.5253,16.8587,17.4833
2383,2015-09-17,53628288.0,17.5973,17.7,17.3793,17.4713
2382,2015-09-18,56409632.0,17.1973,17.588,17.1667,17.3747
2381,2015-09-21,91719179.0,17.5987,18.1047,17.0533,17.6133
2380,2015-09-22,54909618.0,17.2687,17.51,17.058,17.396
2379,2015-09-23,38957531.0,17.4633,17.472,17.1723,17.404
2378,2015-09-24,51639994.0,17.302,17.5633,17.0807,17.5413
2377,2015-09-25,56570897.0,17.774,17.794,17.0767,17.1273
2376,2015-09-28,73396658.0,17.1567,17.3193,16.4407,16.562
2375,2015-09-29,55439552.0,16.6973,16.982,16.364,16.4433
2374,2015-09-30,73886228.0,16.8,16.8267,16.156,16.56
2373,2015-10-01,68523881.0,16.5007,16.5667,15.8087,15.992
2372,2015-10-02,66114192.0,15.7067,16.5133,15.662,16.5047
2371,2015-10-05,55267322.0,16.5893,16.656,16.2753,16.41
2370,2015-10-06,78520146.0,16.0,16.202,15.7053,16.0973
2369,2015-10-07,102066444.0,15.7753,15.8467,15.2747,15.464
2368,2015-10-08,91889864.0,15.3387,15.3813,14.754,15.1147
2367,2015-10-09,92306264.0,14.7287,14.958,14.5573,14.7127
2366,2015-10-12,57242536.0,14.866,14.8667,14.3513,14.372
2365,2015-10-13,77522391.0,14.2187,14.8348,14.0753,14.6167
